Capital,Longitude,Country,Latitude
Kabul,69¡11'E,Afghanistan,34¡28'N
Tirane,19¡49'E,Albania,41¡18'N
Algiers,03¡08'E,Algeria,36¡42'N
Pago Pago,170¡43'W,American Samoa,14¡16'S
Andorra la Vella,01¡32'E,Andorra,42¡31'N
Luanda,13¡15'E,Angola,08¡50'S
W. Indies,61¡48'W,Antigua and Barbuda,17¡20'N
Buenos Aires,60¡00'W,Argentina,36¡30'S
Yerevan,44¡31'E,Armenia,40¡10'N
Oranjestad,70¡02'W,Aruba,12¡32'N
Canberra,149¡08'E,Australia,35¡15'S
Vienna,16¡22'E,Austria,48¡12'N
Baku,49¡56'E,Azerbaijan,40¡29'N
Nassau,77¡20'W,Bahamas,25¡05'N
Manama,50¡30'E,Bahrain,26¡10'N
Dhaka,90¡26'E,Bangladesh,23¡43'N
Bridgetown,59¡30'W,Barbados,13¡05'N
Minsk,27¡30'E,Belarus,53¡52'N
Brussels,04¡21'E,Belgium,50¡51'N
Belmopan,88¡30'W,Belize,17¡18'N
Porto-Novo (constitutional cotonou) (seat of gvnt),02¡42'E,Benin,06¡23'N
Thimphu,89¡45'E,Bhutan,27¡31'N
La Paz (adm.)/sucre (legislative),68¡10'W,Bolivia,16¡20'S
Sarajevo,18¡26'E,Bosnia and Herzegovina,43¡52'N
Gaborone,25¡57'E,Botswana,24¡45'S
Brasilia,47¡55'W,Brazil,15¡47'S
Road Town,64¡37'W,British Virgin Islands,18¡27'N
Bandar Seri Begawan,115¡00'E,Brunei Darussalam,04¡52'N
Sofia,23¡20'E,Bulgaria,42¡45'N
Ouagadougou,01¡30'W,Burkina Faso,12¡15'N
Bujumbura,29¡18'E,Burundi,03¡16'S
Phnom Penh,104¡55'E,Cambodia,11¡33'N
Yaounde,11¡35'E,Cameroon,03¡50'N
Ottawa,75¡42'W,Canada,45¡27'N
Praia,23¡34'W,Cape Verde,15¡02'N
George Town,81¡24'W,Cayman Islands,19¡20'N
Bangui,18¡35'E,Central African Republic,04¡23'N
N'Djamena,14¡59'E,Chad,12¡10'N
Santiago,70¡40'W,Chile,33¡24'S
Beijing,116¡20'E,China,39¡55'N
Bogota,74¡00'W,Colombia,04¡34'N
Moroni,43¡16'E,Comros,11¡40'S
Brazzaville,15¡12'E,Congo,04¡09'S
San Jose,84¡02'W,Costa Rica,09¡55'N
Yamoussoukro,05¡17'W,Cote d'Ivoire,06¡49'N
Zagreb,15¡58'E,Croatia,45¡50'N
Havana,82¡22'W,Cuba,23¡08'N
Nicosia,33¡25'E,Cyprus,35¡10'N
Prague,14¡22'E,Czech Republic,50¡05'N
P'yongyang,125¡30'E,Democratic People's Republic of,39¡09'N
Kinshasa,15¡15'E,Democratic Republic of the Congo,04¡20'S
Copenhagen,12¡34'E,Denmark,55¡41'N
Djibouti,42¡20'E,Djibouti,11¡08'N
Roseau,61¡24'W,Dominica,15¡20'N
Santo Domingo,69¡59'W,Dominica Republic,18¡30'N
Dili,125¡34'E,East Timor,08¡29'S
Quito,78¡35'W,Ecuador,00¡15'S
Cairo,31¡14'E,Egypt,30¡01'N
San Salvador,89¡10'W,El Salvador,13¡40'N
Malabo,08¡50'E,Equatorial Guinea,03¡45'N
Asmara,38¡55'E,Eritrea,15¡19'N
Tallinn,24¡48'E,Estonia,59¡22'N
Addis Ababa,38¡42'E,Ethiopia,09¡02'N
Stanley,59¡51'W,Falkland Islands (Malvinas),51¡40'S
Torshavn,06¡56'W,Faroe Islands,62¡05'N
Suva,178¡30'E,Fiji,18¡06'S
Helsinki,25¡03'E,Finland,60¡15'N
Paris,02¡20'E,France,48¡50'N
Cayenne,52¡18'W,French Guiana,05¡05'N
Papeete,149¡34'W,French Polynesia,17¡32'S
Libreville,09¡26'E,Gabon,00¡25'N
Banjul,16¡40'W,Gambia,13¡28'N
T'bilisi,44¡50'E,Georgia,41¡43'N
Berlin,13¡25'E,Germany,52¡30'N
Accra,00¡06'W,Ghana,05¡35'N
Athens,23¡46'E,Greece,37¡58'N
Nuuk,51¡35'W,Greenland,64¡10'N
Basse-Terre,61¡44'W,Guadeloupe,16¡00'N
Guatemala,90¡22'W,Guatemala,14¡40'N
St. Peter Port,02¡33'W,Guernsey,49¡26'N
Conakry,13¡49'W,Guinea,09¡29'N
Bissau,15¡45'W,Guinea-Bissau,11¡45'N
Georgetown,58¡12'W,Guyana,06¡50'N
Port-au-Prince,72¡20'W,Haiti,18¡40'N
,74¡00'E,Heard Island and McDonald Islands,53¡00'S
Tegucigalpa,87¡14'W,Honduras,14¡05'N
Budapest,19¡05'E,Hungary,47¡29'N
Reykjavik,21¡57'W,Iceland,64¡10'N
New Delhi,77¡13'E,India,28¡37'N
Jakarta,106¡49'E,Indonesia,06¡09'S
Tehran,51¡30'E,Iran (Islamic Republic of),35¡44'N
Baghdad,44¡30'E,Iraq,33¡20'N
Dublin,06¡15'W,Ireland,53¡21'N
Jerusalem,35¡12'E,Israel,31¡47'N
Rome,12¡29'E,Italy,41¡54'N
Kingston,76¡50'W,Jamaica,18¡00'N
Amman,35¡52'E,Jordan,31¡57'N
Astana,71¡30'E,Kazakhstan,51¡10'N
Nairobi,36¡48'E,Kenya,01¡17'S
