,tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
11879,570308309682675712,negative,1.0,Customer Service Issue,1.0,,SweeLoTmac,,0,@AmericanAir why would I even consider continuing your point program when I received no perks or continued bad customer service? #senseless,,2015-02-24 11:44:31 -0800,,Quito
11880,570308064185880577,neutral,0.6667,,,,LancasterPattie,,0,@AmericanAir we've already made other arrangements ourselves.,,2015-02-24 11:43:32 -0800,,
11881,570307949614256128,negative,0.6316,Bad Flight,0.3164,,ELLLORRAC,,0,@AmericanAir thanks for getting back to me. But I will find other airlines in the future.,,2015-02-24 11:43:05 -0800,,Central Time (US & Canada)
11882,570307948171423745,negative,0.6846,Flight Booking Problems,0.6846,,SweeLoTmac,,0,@AmericanAir why would I pay $200 to reactivate my points that are only useful for certain flights that aren't even worth $200?,,2015-02-24 11:43:05 -0800,,Quito
11883,570307434113310720,negative,0.6547,Late Flight,0.3331,,LauraMolito,,0,"@AmericanAir stranded for 24 hours in MIA, Patrick casimir has been the ONLY AA staff to apologize for the great inconvenience #unreal",,2015-02-24 11:41:02 -0800,"New York, NY",Atlantic Time (Canada)
11884,570307390752608257,negative,1.0,Flight Booking Problems,0.6796,,barbararwill,,0,"@AmericanAir no thanks.  As I said, being denied miles that expired one week ago was the last drop for me; plan to avoid AA as possible.",,2015-02-24 11:40:52 -0800,Mexico City,
11885,570307369328095232,negative,0.667,Customer Service Issue,0.3341,,Bossman1908,,0,"@AmericanAir sorry so Late Flight, responded to your DM.",,2015-02-24 11:40:47 -0800,Liverpool,
11886,570307312675651585,positive,0.6604,,,,bharris77,,0,"@AmericanAir Believe me, I understand. Flight #2955. Was originally booked for Sunday. Flight was Cancelled Flighted and rescheduled for today.",,2015-02-24 11:40:33 -0800,"Frisco, Texas",Central Time (US & Canada)
11887,570306867878072320,negative,1.0,Flight Attendant Complaints,1.0,,TheTPVshow,,0,"@AmericanAir aa employees were rude and unwilling to help. 10,000 miles is a rotten cherry on top of a dog shit Sunday. #nocareforcustomers",,2015-02-24 11:38:47 -0800,MN,Central Time (US & Canada)
11888,570306715599695874,negative,0.6889,Can't Tell,0.3444,,banderson_1978,,0,@AmericanAir Mold on my flight?!? US3825 #filthyplane #hopeidonotgetsick http://t.co/zIK2UoXGnW,"[35.22643463, -80.93879965]",2015-02-24 11:38:11 -0800,"Albany, NY",
