,tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
6746,570309345281486848,positive,0.6469,,,,jaxbra,,0,"@JetBlue Yesterday on my way from EWR to FLL just after take-off. :)
#wheelsup #JetBlueSoFly http://t.co/9xkiy0Kq2j",,2015-02-24 11:48:38 -0800,"east brunswick, nj",Atlantic Time (Canada)
6747,570309308937842688,neutral,0.6869,,,,Oneladyyouadore,,0,@JetBlue I hope so because I fly very often and would hate to change airlines.,,2015-02-24 11:48:29 -0800,Georgia,Quito
6748,570308513181904901,neutral,1.0,,,,Oneladyyouadore,,0,"@JetBlue flight 1041 to Savannah, GA",,2015-02-24 11:45:20 -0800,Georgia,Quito
6749,570307820962373632,negative,1.0,Flight Attendant Complaints,0.6522,,Oneladyyouadore,,0,"@JetBlue They weren't on any flight, they just came Late Flight. Your JetBlue employee just informed us!",,2015-02-24 11:42:34 -0800,Georgia,Quito
6750,570305363859406848,negative,1.0,Bad Flight,1.0,,Oneladyyouadore,,0,@JetBlue everyone is here but our pilots are no where to be found and my last flight the plane was dirty that I had to clean my area &amp; seat!,,2015-02-24 11:32:49 -0800,Georgia,Quito
6751,570305098557091840,neutral,0.6472,,0.0,,culinarymindz,,0,"@JetBlue update on Flight 462 would be appreciated when you have time, thanks",,2015-02-24 11:31:45 -0800,,
6752,570304873620746240,neutral,0.6939,,,,kbosspotter,,0,@JetBlue check DM please :),,2015-02-24 11:30:52 -0800,Logan International Airport,Atlantic Time (Canada)
6753,570303683872886784,negative,1.0,Flight Booking Problems,0.6921,,heyheyman,,0,"@JetBlue Hey guys, why did my last flight earn me 0 pts? http://t.co/1syWlmTZek",,2015-02-24 11:26:08 -0800,"Boston, MA",Eastern Time (US & Canada)
6754,570299924555956227,negative,1.0,Can't Tell,1.0,,erinkphares,,0,@JetBlue 2 aisles of empty #evermoreroom seats and we can't move bc we didn't pay?! #nonsense #Waste #JetBlue #jetbluebos #cheap,,2015-02-24 11:11:12 -0800,,
6755,570297402281893888,negative,0.6913,Flight Attendant Complaints,0.3499,,chuck_martin,,0,@JetBlue ’s Marty St. George really has zero clue. How does he still have a job? #nobaggagefees http://t.co/tjDzaMHPEw,,2015-02-24 11:01:10 -0800,SF Bay Area,Pacific Time (US & Canada)
6756,570296417094373376,negative,1.0,Flight Booking Problems,0.6631,,Marty_H,,0,@JetBlue they booked me for tomorrow. It's $250 higher. My 1st reservation is PGFRYZ. Get me on standby list 4 tonight would help.,,2015-02-24 10:57:16 -0800,,Eastern Time (US & Canada)
6757,570296110633381889,neutral,1.0,,,,johnfmartin67,,0,"@JetBlue Submitted, hoping for quick decision, tied to another donation we just received:
Proposal- 27th Annual Gala
Org- Boundless Readers",,2015-02-24 10:56:03 -0800,Chicago,Newfoundland
6758,570295207763316736,negative,1.0,Cancelled Flight,1.0,negative,Marty_H,Cancelled Flight,0,@JetBlue but by Cancelled Flighting my flight and pushing me to the next day I'd lose $150 hotel which was why I was trying to get a same-day flight.,,2015-02-24 10:52:27 -0800,,Eastern Time (US & Canada)
6759,570294460476760064,positive,0.6994,,,,Sujecuevas19,,0,@JetBlue thank you for the information.,,2015-02-24 10:49:29 -0800,,Athens
6760,570293674472558592,neutral,0.649,,0.0,,idk_but_youtube,,0,@JetBlue did you know that suicide is the second leading cause of death among teens 10-24,,2015-02-24 10:46:22 -0800,1/1 loner squad,Eastern Time (US & Canada)
6761,570293669628157952,neutral,1.0,,,,Sujecuevas19,,0,@JetBlue Ok and in Dominican Republic what numbers?,,2015-02-24 10:46:21 -0800,,Athens
