,tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
4326,570309156290367488,negative,1.0,longlines,0.6624,,thisradlove,,0,@SouthwestAir still waiting. Just hit one hour.,,2015-02-24 11:47:53 -0800,Today I'm in: Maryland ,Atlantic Time (Canada)
4327,570309145276125185,negative,0.6361,Cancelled Flight,0.6361,,tomcblock,,0,@SouthwestAir although I'm not happy you Cancelled Flighted my flight home tomorrow (phx to atl then dca) I am happy on how easy it was to rebook,,2015-02-24 11:47:50 -0800,"ÜT: 38.965477,-77.428287",Eastern Time (US & Canada)
4328,570307615189835777,negative,1.0,Customer Service Issue,1.0,,cindyjwhitaker,,0,@SouthwestAir Hello - been on hold for extremely long time. Have confirmation # &amp; can't get boarding pass. Have tried numerous times!!,,2015-02-24 11:41:45 -0800,,Central Time (US & Canada)
4329,570306086475075585,neutral,0.6443,,,,liveseasoned,,0,"@SouthwestAir I'm teaching new #travelers how to research, #budget &amp; #save for a trip today! http://t.co/Qll48r57ep",,2015-02-24 11:35:41 -0800,,
4330,570305647759265793,negative,1.0,Customer Service Issue,1.0,,cindyjwhitaker,,0,@SouthwestAir Very frustrated for the loooooong wait time to speak to a live person!!! Cannot get boarding pass for flight tomorrow!!,,2015-02-24 11:33:56 -0800,,Central Time (US & Canada)
4331,570305078470557697,negative,1.0,Customer Service Issue,1.0,,Tim535353,,0,@SouthwestAir still no update text #2053 &amp; still no response to email fr1/5/2015 SR #256746438028. Feel like yr losing customer service/care,,2015-02-24 11:31:41 -0800,"St. Louis, MO",Central Time (US & Canada)
4332,570304445734629376,negative,1.0,Customer Service Issue,0.6761,,tonybrancato,,0,@SouthwestAir your agents were the ones who were rude and unhelpful and prompted my initial tweet. This is so easy to fix.,"[41.19758614, -73.76914167]",2015-02-24 11:29:10 -0800,Chappaqua NY,Eastern Time (US & Canada)
4333,570304178314190848,negative,1.0,Bad Flight,0.6784,,tonybrancato,,0,@SouthwestAir my wife had been in group A in prev. flight but got bumped for some reason.  Alone with two kids. At least put her in group A,"[41.1974934, -73.76920486]",2015-02-24 11:28:06 -0800,Chappaqua NY,Eastern Time (US & Canada)
4334,570303797605617665,negative,1.0,Late Flight,1.0,,KellDuckKan,,0,@SouthwestAir my flight was delayed 4 hrs. I'm 5 months pregnant &amp; supposed to be caring for my mom whose in surgery now. Very upset.,,2015-02-24 11:26:35 -0800,"Columbus, OH",Eastern Time (US & Canada)
4335,570303399276761088,positive,1.0,,,,tylerhansen331,,0,@SouthwestAir thank you so much completely made things right!,,2015-02-24 11:25:00 -0800,,
4336,570302532955844608,positive,1.0,,,,Shpressyourself,,0,@SouthwestAir love them! Always get the best deals!,,2015-02-24 11:21:34 -0800,,Central Time (US & Canada)
4337,570302460235026433,neutral,1.0,,,,brittanylinnes,,0,@SouthwestAir can you follow me so I can send you the info?,,2015-02-24 11:21:16 -0800,"New York, NY",Eastern Time (US & Canada)
4338,570302337069264900,negative,1.0,Customer Service Issue,0.6667,,ryanshaw100,,0,@SouthwestAir Been on hold 34 min so far trying to book seat for my infant. Price increased $42 in meantime. What do I do?,,2015-02-24 11:20:47 -0800,"Chicago, IL",Central Time (US & Canada)
4339,570302030742470658,neutral,0.6825,,,,HaleyOstrander,,0,@SouthwestAir once again on Glassdoor's Best Places To Work snagging # 15 overall #notsurprising #LUVthem,,2015-02-24 11:19:34 -0800,TX,
4340,570301794850639872,negative,1.0,longlines,0.3438,,tedm23,,0,@SouthwestAir poor performance all around! Paid for Express checkin weeks ago and can't even leverage it #bullshit,,2015-02-24 11:18:38 -0800,"Burlington, Ma",Central Time (US & Canada)
4341,570299642887442433,positive,0.6809,,,,tonybrancato,,0,@SouthwestAir thx. Make it right. Help Meagan Fouty Brancato fl#2771 dfw gate 4 preboard w/kids - b4 group A please. Please.,"[41.19747574, -73.76926201]",2015-02-24 11:10:05 -0800,Chappaqua NY,Eastern Time (US & Canada)
4342,570299331707854848,neutral,0.6681,,0.0,,MarsalaHolla,,0,@SouthwestAir can you update me on the emergency landing in Jacksonville right now? #parentsonboard,,2015-02-24 11:08:50 -0800,,
4343,570298362907508738,neutral,1.0,,,,NardosKing2,,0,@SouthwestAir I have been on hold for over 28 minutes  please help http://t.co/Fx9BIJlxAt,,2015-02-24 11:05:00 -0800,,Eastern Time (US & Canada)
4344,570298155465609217,neutral,1.0,,,,SaTxTechunter,,0,@SouthwestAir can y'all develop Ding for a chrome/Firefox browser extension? That would be swell,,2015-02-24 11:04:10 -0800,"San Antonio, TX",Mexico City
4345,570296754832318465,neutral,0.6787,,0.0,,PBI_Airport,,0,@SouthwestAir can take u to Midway-Chicago March 8th-April 6th. Can't make it then? @AmericanAir can get u to @fly2ohare year round. #FlyPBI,,2015-02-24 10:58:36 -0800,"West Palm Beach, FL",Hawaii
4346,570296670568751106,negative,0.6374,longlines,0.3297,,frankplaza_,,0,@SouthwestAir Logically you would think you check all that before you have people board. I could've drove home in the time I've been waiting,,2015-02-24 10:58:16 -0800,"St.Peters, MO",Central Time (US & Canada)
4347,570294002077061120,positive,1.0,,,,catjubs,,0,@SouthwestAir  thanks Southwest for saving our trip. my sweetheart isn't going to miss seeing #AltonBrownLive thanks to y'all! #SOhappy,,2015-02-24 10:47:40 -0800,lurking in a coffeehouse,Pacific Time (US & Canada)
4348,570293661377961984,negative,1.0,Customer Service Issue,0.6465,,Sarahtherower,,0,@SouthwestAir can you have someone call me back? I have been on hold two times today for over 20 min and still haven't gotten through,,2015-02-24 10:46:19 -0800,Orange County,Arizona
4349,570293557724110850,neutral,1.0,,,,idk_but_youtube,,0,@SouthwestAir did you know that suicide is the second leading cause of death among teens 10-24,,2015-02-24 10:45:54 -0800,1/1 loner squad,Eastern Time (US & Canada)
4350,570293527982301184,positive,0.7004,,,,PiersonStone,,0,"@SouthwestAir never mind, I moved my flight to tomorrow. Thanks for the help!",,2015-02-24 10:45:47 -0800,,Central Time (US & Canada)
4351,570293142257311744,neutral,0.7015,,0.0,,brittanylinnes,,0,.@SouthwestAir she needs a wheelchair at the gate for sure. What options does she have?,,2015-02-24 10:44:15 -0800,"New York, NY",Eastern Time (US & Canada)
4352,570293100326862849,positive,1.0,,,,cheesensausage,,0,@SouthwestAir I managed to get sorted out over the phone. Good luck dealing with the snow in Texas!,,2015-02-24 10:44:05 -0800,Eau Claire,
4353,570292976603295744,negative,1.0,Flight Attendant Complaints,0.3723,,tonybrancato,,0,"@SouthwestAir has grounded 2 flights b/c of equipment problems &amp; been rude to my wife, traveling alone w/our 2 young kids.  never again.",,2015-02-24 10:43:35 -0800,Chappaqua NY,Eastern Time (US & Canada)
4354,570292914686955520,neutral,0.3511,,0.0,,Marc_Hoffman,,0,@SouthwestAir Do you promise to not unfollow me? 😉,,2015-02-24 10:43:21 -0800,"Denver, CO",Mountain Time (US & Canada)
4355,570291219919736832,neutral,1.0,,,,NecroticDoctor,,0,@SouthwestAir Just DMed you my confirmation number.,,2015-02-24 10:36:36 -0800,Trapped in Baltimore.,Atlantic Time (Canada)
4356,570289521113366531,negative,1.0,Late Flight,1.0,,Heavenlychc9,,0,@SouthwestAir oh look you just delayed our flight an additional half hour now arriving at 6 officially five hours after planned. 😡😡😡😡😤😤😤,,2015-02-24 10:29:51 -0800,,
4357,570289080090689536,positive,1.0,,,,crook_justin,,0,@SouthwestAir weather bc of system outage. Hopefully everything goes smoothly now. Thank you for follow up,,2015-02-24 10:28:06 -0800,Fort Lauderdale,
4358,570288961064710145,negative,1.0,Bad Flight,0.7020000000000001,,crook_justin,,0,@SouthwestAir belt issues. Been a rough day for them. Worst part is traveling with 9 month old and having to wait outside in 85 degree,,2015-02-24 10:27:38 -0800,Fort Lauderdale,
4359,570288841447366658,neutral,1.0,,,,unknownfilmaker,,0,"@SouthwestAir oh, is it only in Atlanta?",,2015-02-24 10:27:09 -0800,EVERYWHERE,
4360,570288799860846592,negative,0.6477,Lost Luggage,0.3295,,crook_justin,,0,@SouthwestAir they were moved to the 210pm flight #4649. Main concern now is luggage arriving with them. They were told that SW was having,,2015-02-24 10:26:59 -0800,Fort Lauderdale,
4361,570288380384292864,positive,0.6456,,0.0,,jparkermastin,,0,@SouthwestAir  I USED to always fly Southwest.,,2015-02-24 10:25:19 -0800,,
4362,570287651137445888,negative,1.0,Lost Luggage,1.0,,jparkermastin,,0,@SouthwestAir  got my bags 35 hours Late Flightr and an offer of $50 to go pick them up. Taxi costs $65 one way. Spent $200 for the inconvenience.,,2015-02-24 10:22:26 -0800,,
4363,570287513874669568,negative,0.6526,Can't Tell,0.3684,,MauriceRabb,,0,@SouthwestAir thx but I'll be expecting a credit for this leg.,"[41.78546237, -87.7430551]",2015-02-24 10:21:53 -0800,Chicago,Central Time (US & Canada)
4364,570287238145290240,neutral,1.0,,,,briman007,,0,"@SouthwestAir sure, please follow me so I can do so?",,2015-02-24 10:20:47 -0800,"Atlanta, GA",Eastern Time (US & Canada)
4365,570286359983886336,negative,1.0,Bad Flight,0.3525,,JJBehrens,,0,"@SouthwestAir  appreciate y'all getting the gate issue figured GRR. Plenty open gates, yet we sit and wait on tarmac","[42.88502249, -85.52894527]",2015-02-24 10:17:18 -0800,"Grandville, Michigan",
