,tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
504,570307876897628160,positive,1.0,,,,rdowning76,,0,@united thanks,,2015-02-24 11:42:48 -0800,usa,
505,570307847281614848,positive,1.0,,,,CoreyAStewart,,0,@united Thanks for taking care of that MR!! Happy customer.,,2015-02-24 11:42:41 -0800,"Richmond, VA",Eastern Time (US & Canada)
506,570307109704900608,negative,1.0,Cancelled Flight,0.703,,CoralReefer420,,0,@united still no refund or word via DM. Please resolve this issue as your Cancelled Flightled flight was useless to my assistant's trip.,,2015-02-24 11:39:45 -0800,"Bay Area, California ",Alaska
507,570307026263384064,negative,1.0,Late Flight,1.0,,lsalazarll,,0,@united Delayed due to lack of crew and now delayed again because there's a long line for deicing... Still need to improve service #united,,2015-02-24 11:39:25 -0800,,Mountain Time (US & Canada)
508,570306733010264064,positive,0.3441,,0.0,,rombaa,,0,@united thanks -- we filled it out. How's our luck with this? Is it common?,,2015-02-24 11:38:15 -0800,,
509,570306217001799680,negative,0.3475,Can't Tell,0.3475,,samidip,,0,@united Your ERI-ORD express connections are hugely popular .. now if only we could have an ERI-EWR hop! :),,2015-02-24 11:36:12 -0800,"Erie, PA",Eastern Time (US & Canada)
510,570305603056349184,neutral,0.645,,0.0,,karenmcgregor86,,0,@united even on international flight Glasgow to the U.S.? Then what about orlando to Newark? All 90 mins?,,2015-02-24 11:33:46 -0800,"Kilmarnock, now Edinburgh. ",Edinburgh
511,570304912468402177,negative,0.6667,Can't Tell,0.3333,,andycheco,,0,@united you think you boarded flight AU1066 too early? I think so.,"[19.43706642, -99.07927123]",2015-02-24 11:31:01 -0800,New York,Eastern Time (US & Canada)
512,570302375510056960,neutral,0.6761,,0.0,,hmansfield,,0,"@united I understand, but it's tough when there is no way to get to the airport w/o serious risk of an accident. It's a steep price.",,2015-02-24 11:20:56 -0800,"Berkeley Heights, NJ",Quito
513,570302023993831425,negative,0.6735,Bad Flight,0.3476,,slandail,,0,"@united Gate agent hooked me up with alternate flights. If you have a way to PREVENT the constant issues, that would rock.",,2015-02-24 11:19:32 -0800,"Columbus, Ohio",Eastern Time (US & Canada)
