Country,Capital,Latitude,Longitude
Afghanistan,Kabul,34¡28'N,69¡11'E
Albania,Tirane,41¡18'N,19¡49'E
Algeria,Algiers,36¡42'N,03¡08'E
American Samoa,Pago Pago,14¡16'S,170¡43'W
Andorra,Andorra la Vella,42¡31'N,01¡32'E
Angola,Luanda,08¡50'S,13¡15'E
Antigua and Barbuda,W. Indies,17¡20'N,61¡48'W
Argentina,Buenos Aires,36¡30'S,60¡00'W
Armenia,Yerevan,40¡10'N,44¡31'E
Aruba,Oranjestad,12¡32'N,70¡02'W
Australia,Canberra,35¡15'S,149¡08'E
Austria,Vienna,48¡12'N,16¡22'E
Azerbaijan,Baku,40¡29'N,49¡56'E
Bahamas,Nassau,25¡05'N,77¡20'W
Bahrain,Manama,26¡10'N,50¡30'E
Bangladesh,Dhaka,23¡43'N,90¡26'E
Barbados,Bridgetown,13¡05'N,59¡30'W
Belarus,Minsk,53¡52'N,27¡30'E
Belgium,Brussels,50¡51'N,04¡21'E
Belize,Belmopan,17¡18'N,88¡30'W
Benin,Porto-Novo (constitutional cotonou) (seat of gvnt),06¡23'N,02¡42'E
Bhutan,Thimphu,27¡31'N,89¡45'E
Bolivia,La Paz (adm.)/sucre (legislative),16¡20'S,68¡10'W
Bosnia and Herzegovina,Sarajevo,43¡52'N,18¡26'E
Botswana,Gaborone,24¡45'S,25¡57'E
Brazil,Brasilia,15¡47'S,47¡55'W
British Virgin Islands,Road Town,18¡27'N,64¡37'W
Brunei Darussalam,Bandar Seri Begawan,04¡52'N,115¡00'E
Bulgaria,Sofia,42¡45'N,23¡20'E
Burkina Faso,Ouagadougou,12¡15'N,01¡30'W
Burundi,Bujumbura,03¡16'S,29¡18'E
Cambodia,Phnom Penh,11¡33'N,104¡55'E
Cameroon,Yaounde,03¡50'N,11¡35'E
Canada,Ottawa,45¡27'N,75¡42'W
Cape Verde,Praia,15¡02'N,23¡34'W
Cayman Islands,George Town,19¡20'N,81¡24'W
Central African Republic,Bangui,04¡23'N,18¡35'E
Chad,N'Djamena,12¡10'N,14¡59'E
Chile,Santiago,33¡24'S,70¡40'W
China,Beijing,39¡55'N,116¡20'E
Colombia,Bogota,04¡34'N,74¡00'W
Comros,Moroni,11¡40'S,43¡16'E
Congo,Brazzaville,04¡09'S,15¡12'E
Costa Rica,San Jose,09¡55'N,84¡02'W
Cote d'Ivoire,Yamoussoukro,06¡49'N,05¡17'W
Croatia,Zagreb,45¡50'N,15¡58'E
Cuba,Havana,23¡08'N,82¡22'W
Cyprus,Nicosia,35¡10'N,33¡25'E
Czech Republic,Prague,50¡05'N,14¡22'E
Democratic People's Republic of,P'yongyang,39¡09'N,125¡30'E
Democratic Republic of the Congo,Kinshasa,04¡20'S,15¡15'E
Denmark,Copenhagen,55¡41'N,12¡34'E
Djibouti,Djibouti,11¡08'N,42¡20'E
Dominica,Roseau,15¡20'N,61¡24'W
Dominica Republic,Santo Domingo,18¡30'N,69¡59'W
East Timor,Dili,08¡29'S,125¡34'E
Ecuador,Quito,00¡15'S,78¡35'W
Egypt,Cairo,30¡01'N,31¡14'E
El Salvador,San Salvador,13¡40'N,89¡10'W
Equatorial Guinea,Malabo,03¡45'N,08¡50'E
Eritrea,Asmara,15¡19'N,38¡55'E
Estonia,Tallinn,59¡22'N,24¡48'E
Ethiopia,Addis Ababa,09¡02'N,38¡42'E
Falkland Islands (Malvinas),Stanley,51¡40'S,59¡51'W
Faroe Islands,Torshavn,62¡05'N,06¡56'W
Fiji,Suva,18¡06'S,178¡30'E
Finland,Helsinki,60¡15'N,25¡03'E
France,Paris,48¡50'N,02¡20'E
French Guiana,Cayenne,05¡05'N,52¡18'W
French Polynesia,Papeete,17¡32'S,149¡34'W
Gabon,Libreville,00¡25'N,09¡26'E
Gambia,Banjul,13¡28'N,16¡40'W
Georgia,T'bilisi,41¡43'N,44¡50'E
Germany,Berlin,52¡30'N,13¡25'E
Ghana,Accra,05¡35'N,00¡06'W
Greece,Athens,37¡58'N,23¡46'E
Greenland,Nuuk,64¡10'N,51¡35'W
Guadeloupe,Basse-Terre,16¡00'N,61¡44'W
Guatemala,Guatemala,14¡40'N,90¡22'W
Guernsey,St. Peter Port,49¡26'N,02¡33'W
Guinea,Conakry,09¡29'N,13¡49'W
Guinea-Bissau,Bissau,11¡45'N,15¡45'W
Guyana,Georgetown,06¡50'N,58¡12'W
Haiti,Port-au-Prince,18¡40'N,72¡20'W
Heard Island and McDonald Islands,,53¡00'S,74¡00'E
Honduras,Tegucigalpa,14¡05'N,87¡14'W
Hungary,Budapest,47¡29'N,19¡05'E
Iceland,Reykjavik,64¡10'N,21¡57'W
India,New Delhi,28¡37'N,77¡13'E
Indonesia,Jakarta,06¡09'S,106¡49'E
Iran (Islamic Republic of),Tehran,35¡44'N,51¡30'E
Iraq,Baghdad,33¡20'N,44¡30'E
Ireland,Dublin,53¡21'N,06¡15'W
Israel,Jerusalem,31¡47'N,35¡12'E
Italy,Rome,41¡54'N,12¡29'E
Jamaica,Kingston,18¡00'N,76¡50'W
Jordan,Amman,31¡57'N,35¡52'E
Kazakhstan,Astana,51¡10'N,71¡30'E
Kenya,Nairobi,01¡17'S,36¡48'E
Kiribati,Tarawa,01¡30'N,173¡00'E
Kuwait,Kuwait,29¡30'N,48¡00'E
Kyrgyzstan,Bishkek,42¡54'N,74¡46'E
Lao People's Democratic Republic,Vientiane,17¡58'N,102¡36'E
Latvia,Riga,56¡53'N,24¡08'E
Lebanon,Beirut,33¡53'N,35¡31'E
Lesotho,Maseru,29¡18'S,27¡30'E
Liberia,Monrovia,06¡18'N,10¡47'W
Libyan Arab Jamahiriya,Tripoli,32¡49'N,13¡07'E
Liechtenstein,Vaduz,47¡08'N,09¡31'E
Lithuania,Vilnius,54¡38'N,25¡19'E
Luxembourg,Luxembourg,49¡37'N,06¡09'E
"Macao, China",Macau,22¡12'N,113¡33'E
Madagascar,Antananarivo,18¡55'S,47¡31'E
Malawi,Lilongwe,14¡00'S,33¡48'E
Malaysia,Kuala Lumpur,03¡09'N,101¡41'E
Maldives,Male,04¡00'N,73¡28'E
Mali,Bamako,12¡34'N,07¡55'W
Malta,Valletta,35¡54'N,14¡31'E
Martinique,Fort-de-France,14¡36'N,61¡02'W
Mauritania,Nouakchott,20¡10'S,57¡30'E
Mayotte,Mamoudzou,12¡48'S,45¡14'E
Mexico,Mexico,19¡20'N,99¡10'W
Micronesia (Federated States of),Palikir,06¡55'N,158¡09'E
"Moldova, Republic of",Chisinau,47¡02'N,28¡50'E
Mozambique,Maputo,25¡58'S,32¡32'E
Myanmar,Yangon,16¡45'N,96¡20'E
Namibia,Windhoek,22¡35'S,17¡04'E
Nepal,Kathmandu,27¡45'N,85¡20'E
Netherlands,Amsterdam/The Hague (seat of Gvnt),52¡23'N,04¡54'E
Netherlands Antilles,Willemstad,12¡05'N,69¡00'W
New Caledonia,Noumea,22¡17'S,166¡30'E
New Zealand,Wellington,41¡19'S,174¡46'E
Nicaragua,Managua,12¡06'N,86¡20'W
Niger,Niamey,13¡27'N,02¡06'E
Nigeria,Abuja,09¡05'N,07¡32'E
Norfolk Island,Kingston,45¡20'S,168¡43'E
Northern Mariana Islands,Saipan,15¡12'N,145¡45'E
Norway,Oslo,59¡55'N,10¡45'E
Oman,Masqat,23¡37'N,58¡36'E
Pakistan,Islamabad,33¡40'N,73¡10'E
Palau,Koror,07¡20'N,134¡28'E
Panama,Panama,09¡00'N,79¡25'W
Papua New Guinea,Port Moresby,09¡24'S,147¡08'E
Paraguay,Asuncion,25¡10'S,57¡30'W
Peru,Lima,12¡00'S,77¡00'W
Philippines,Manila,14¡40'N,121¡03'E
Poland,Warsaw,52¡13'N,21¡00'E
Portugal,Lisbon,38¡42'N,09¡10'W
Puerto Rico,San Juan,18¡28'N,66¡07'W
Qatar,Doha,25¡15'N,51¡35'E
Republic of Korea,Seoul,37¡31'N,126¡58'E
Romania,Bucuresti,44¡27'N,26¡10'E
Russian Federation,Moskva,55¡45'N,37¡35'E
Rawanda,Kigali,01¡59'S,30¡04'E
Saint Kitts and Nevis,Basseterre,17¡17'N,62¡43'W
Saint Lucia,Castries,14¡02'N,60¡58'W
Saint Pierre and Miquelon,Saint-Pierre,46¡46'N,56¡12'W
Saint vincent and the Grenadines,Kingstown,13¡10'N,61¡10'W
Samoa,Apia,13¡50'S,171¡50'W
San Marino,San Marino,43¡55'N,12¡30'E
Sao Tome and Principe,Sao Tome,00¡10'N,06¡39'E
Saudi Arabia,Riyadh,24¡41'N,46¡42'E
Senegal,Dakar,14¡34'N,17¡29'W
Sierra Leone,Freetown,08¡30'N,13¡17'W
Slovakia,Bratislava,48¡10'N,17¡07'E
Slovenia,Ljubljana,46¡04'N,14¡33'E
Solomon Islands,Honiara,09¡27'S,159¡57'E
Somalia,Mogadishu,02¡02'N,45¡25'E
South Africa,Pretoria (adm.) / Cap Town (Legislative) / Bloemfontein (Judicial),25¡44'S,28¡12'E
Spain,Madrid,40¡25'N,03¡45'W
Sudan,Khartoum,15¡31'N,32¡35'E
