Capital,Country,Latitude,Longitude
Kabul,Afghanistan,34¡28'N,69¡11'E
Tirane,Albania,41¡18'N,19¡49'E
Algiers,Algeria,36¡42'N,03¡08'E
Pago Pago,American Samoa,14¡16'S,170¡43'W
Andorra la Vella,Andorra,42¡31'N,01¡32'E
Luanda,Angola,08¡50'S,13¡15'E
W. Indies,Antigua and Barbuda,17¡20'N,61¡48'W
Buenos Aires,Argentina,36¡30'S,60¡00'W
Yerevan,Armenia,40¡10'N,44¡31'E
Oranjestad,Aruba,12¡32'N,70¡02'W
Canberra,Australia,35¡15'S,149¡08'E
Vienna,Austria,48¡12'N,16¡22'E
Baku,Azerbaijan,40¡29'N,49¡56'E
Nassau,Bahamas,25¡05'N,77¡20'W
Manama,Bahrain,26¡10'N,50¡30'E
Dhaka,Bangladesh,23¡43'N,90¡26'E
Bridgetown,Barbados,13¡05'N,59¡30'W
Minsk,Belarus,53¡52'N,27¡30'E
Brussels,Belgium,50¡51'N,04¡21'E
Belmopan,Belize,17¡18'N,88¡30'W
Porto-Novo (constitutional cotonou) (seat of gvnt),Benin,06¡23'N,02¡42'E
Thimphu,Bhutan,27¡31'N,89¡45'E
La Paz (adm.)/sucre (legislative),Bolivia,16¡20'S,68¡10'W
Sarajevo,Bosnia and Herzegovina,43¡52'N,18¡26'E
Gaborone,Botswana,24¡45'S,25¡57'E
Brasilia,Brazil,15¡47'S,47¡55'W
Road Town,British Virgin Islands,18¡27'N,64¡37'W
Bandar Seri Begawan,Brunei Darussalam,04¡52'N,115¡00'E
Sofia,Bulgaria,42¡45'N,23¡20'E
Ouagadougou,Burkina Faso,12¡15'N,01¡30'W
Bujumbura,Burundi,03¡16'S,29¡18'E
Phnom Penh,Cambodia,11¡33'N,104¡55'E
Yaounde,Cameroon,03¡50'N,11¡35'E
Ottawa,Canada,45¡27'N,75¡42'W
Praia,Cape Verde,15¡02'N,23¡34'W
George Town,Cayman Islands,19¡20'N,81¡24'W
Bangui,Central African Republic,04¡23'N,18¡35'E
N'Djamena,Chad,12¡10'N,14¡59'E
Santiago,Chile,33¡24'S,70¡40'W
Beijing,China,39¡55'N,116¡20'E
Bogota,Colombia,04¡34'N,74¡00'W
Moroni,Comros,11¡40'S,43¡16'E
Brazzaville,Congo,04¡09'S,15¡12'E
San Jose,Costa Rica,09¡55'N,84¡02'W
Yamoussoukro,Cote d'Ivoire,06¡49'N,05¡17'W
Zagreb,Croatia,45¡50'N,15¡58'E
Havana,Cuba,23¡08'N,82¡22'W
Nicosia,Cyprus,35¡10'N,33¡25'E
Prague,Czech Republic,50¡05'N,14¡22'E
P'yongyang,Democratic People's Republic of,39¡09'N,125¡30'E
Kinshasa,Democratic Republic of the Congo,04¡20'S,15¡15'E
Copenhagen,Denmark,55¡41'N,12¡34'E
Djibouti,Djibouti,11¡08'N,42¡20'E
Roseau,Dominica,15¡20'N,61¡24'W
Santo Domingo,Dominica Republic,18¡30'N,69¡59'W
Dili,East Timor,08¡29'S,125¡34'E
Quito,Ecuador,00¡15'S,78¡35'W
Cairo,Egypt,30¡01'N,31¡14'E
San Salvador,El Salvador,13¡40'N,89¡10'W
Malabo,Equatorial Guinea,03¡45'N,08¡50'E
Asmara,Eritrea,15¡19'N,38¡55'E
Tallinn,Estonia,59¡22'N,24¡48'E
Addis Ababa,Ethiopia,09¡02'N,38¡42'E
Stanley,Falkland Islands (Malvinas),51¡40'S,59¡51'W
Torshavn,Faroe Islands,62¡05'N,06¡56'W
Suva,Fiji,18¡06'S,178¡30'E
Helsinki,Finland,60¡15'N,25¡03'E
Paris,France,48¡50'N,02¡20'E
Cayenne,French Guiana,05¡05'N,52¡18'W
Papeete,French Polynesia,17¡32'S,149¡34'W
Libreville,Gabon,00¡25'N,09¡26'E
Banjul,Gambia,13¡28'N,16¡40'W
T'bilisi,Georgia,41¡43'N,44¡50'E
Berlin,Germany,52¡30'N,13¡25'E
Accra,Ghana,05¡35'N,00¡06'W
Athens,Greece,37¡58'N,23¡46'E
Nuuk,Greenland,64¡10'N,51¡35'W
Basse-Terre,Guadeloupe,16¡00'N,61¡44'W
Guatemala,Guatemala,14¡40'N,90¡22'W
St. Peter Port,Guernsey,49¡26'N,02¡33'W
Conakry,Guinea,09¡29'N,13¡49'W
