height,width
62,80
65,98
87,60
43,23
26,39
11,52
58,32
28,43
75,63
21,7
87,52
80,3
46,7
59,94
15,67
55,31
59,30
86,71
64,52
32,13
69,90
85,62
85,50
96,65
11,69
2,82
18,70
24,14
29,54
74,15
11,66
98,1
88,2
35,43
28,1
72,37
94,46
60,66
79,95
3,54
54,51
20,7
8,35
5,79
91,19
66,80
87,84
54,35
92,58
78,93
61,92
46,45
30,65
54,68
48,15
23,96
66,80
58,52
6,34
16,28
11,95
54,45
16,25
96,67
33,24
5,17
82,43
33,12
48,55
46,12
18,48
57,5
70,25
92,88
91,4
82,63
79,1
18,35
77,50
57,10
71,57
16,86
16,89
71,57
73,35
55,46
76,28
57,32
57,3
20,19
45,10
26,4
86,86
61,12
37,52
98,50
58,21
80,59
96,88
56,73
49,41
30,64
12,48
3,81
19,10
86,12
1,77
62,59
97,55
24,48
64,13
67,4
54,30
6,77
4,75
70,46
14,32
77,94
8,24
65,87
20,40
21,74
60,100
81,30
91,58
16,79
27,25
75,43
68,21
85,95
70,15
27,21
45,75
95,58
18,85
70,90
35,65
87,14
100,96
43,99
43,56
36,1
36,47
11,47
43,71
63,66
90,97
30,73
44,7
92,68
3,45
91,96
79,29
61,46
52,67
16,51
30,58
95,70
91,62
78,100
7,43
18,48
83,14
76,61
47,46
37,59
38,52
17,72
44,84
20,39
2,6
75,46
15,10
48,63
88,64
39,49
80,87
48,54
52,11
35,2
73,15
5,48
36,87
63,97
42,7
14,8
23,38
56,6
37,62
53,94
37,19
8,57
21,29
6,70
74,6
42,90
66,56
66,67
99,7
22,69
54,96
1,15
7,65
23,1
46,57
62,18
99,83
29,34
38,84
84,32
23,22
28,100
32,38
15,16
58,73
69,2
59,38
19,34
40,19
84,53
85,79
48,8
65,48
82,30
51,51
1,31
99,73
99,5
79,90
82,7
96,19
42,17
94,59
98,86
97,67
32,20
15,18
97,36
13,4
84,95
34,24
2,81
95,32
92,72
32,82
54,88
18,44
1,33
1,51
98,35
99,53
56,38
3,82
81,51
55,71
7,28
34,9
11,81
68,82
92,7
32,81
60,34
52,9
98,43
6,72
58,41
23,76
5,77
3,94
94,39
59,70
75,58
88,35
18,66
84,19
97,88
24,100
44,6
56,63
77,97
80,93
31,9
63,8
10,8
20,18
9,22
80,67
71,12
2,78
23,37
20,95
18,75
3,91
11,37
22,36
36,77
91,50
42,37
96,58
78,45
70,36
97,80
91,92
91,91
23,63
26,40
2,40
59,38
19,93
19,44
33,54
83,67
34,87
60,60
49,11
79,62
99,53
47,1
58,14
100,43
37,15
24,50
10,24
55,59
75,76
46,33
35,44
56,17
13,81
54,62
30,88
66,83
85,63
64,49
7,6
91,100
1,92
15,90
92,93
5,50
90,62
69,8
91,40
79,3
96,72
64,59
67,3
68,97
97,61
15,4
85,34
51,87
27,78
100,78
75,82
60,98
66,29
9,78
72,49
73,31
23,76
48,89
65,47
83,94
1,52
72,100
4,30
57,9
3,38
79,24
60,92
74,85
18,67
60,91
71,90
45,55
12,6
96,71
45,86
68,38
92,3
89,38
43,5
90,14
58,92
65,45
23,89
57,11
84,10
94,69
59,89
94,46
4,70
63,72
18,29
41,50
81,99
88,94
93,6
29,22
63,11
62,20
33,27
25,72
89,83
75,48
30,95
15,43
45,62
49,93
46,99
70,63
82,29
5,30
63,36
59,85
100,92
53,33
47,14
74,88
73,12
69,3
85,46
56,20
75,11
48,6
59,41
57,49
92,18
23,38
32,23
43,23
96,34
85,84
53,40
76,38
49,12
32,31
24,39
24,28
56,38
13,25
50,35
48,5
96,71
30,50
25,50
21,60
89,76
42,69
25,39
48,29
88,43
95,60
46,63
56,93
36,91
59,27
95,86
89,75
11,47
42,16
7,76
35,97
50,80
54,89
40,82
3,54
12,84
80,21
66,18
86,38
17,87
74,83
32,94
87,19
89,60
53,95
13,84
46,56
20,79
96,28
57,9
90,25
63,2
73,76
88,79
4,15
63,93
65,32
2,24
52,77
76,18
78,4
22,28
69,25
93,51
78,68
45,21
60,18
59,84
98,76
63,43
89,73
19,6
58,86
61,47
59,70
25,19
47,55
23,45
100,14
41,67
24,40
64,60
17,9
82,77
74,14
2,48
7,17
68,72
22,35
44,98
71,24
14,86
37,94
87,17
36,41
57,1
1,6
11,60
11,23
52,28
75,1
37,40
12,43
45,73
16,48
49,84
70,68
98,39
29,54
95,8
59,68
32,6
53,5
31,20
84,86
47,82
14,88
82,63
10,57
88,45
7,44
32,99
83,46
10,53
69,77
37,51
59,56
14,92
2,13
51,39
89,43
51,37
17,56
100,53
14,67
8,33
90,42
50,38
95,96
30,85
51,50
83,20
19,81
66,71
33,91
17,98
5,72
98,19
22,56
51,40
63,31
92,49
58,78
84,47
32,55
6,91
48,50
78,28
19,41
23,45
29,80
73,54
52,90
95,80
37,45
8,43
96,90
26,34
49,63
58,16
24,34
22,51
71,49
23,87
72,64
54,26
91,24
2,75
92,36
95,71
47,31
58,83
51,55
7,46
31,56
86,78
17,57
9,21
53,48
93,29
47,46
63,36
22,9
23,49
58,84
51,41
4,22
18,24
19,88
95,33
46,42
2,6
15,22
46,21
35,1
11,84
47,90
85,87
21,73
100,32
98,42
99,18
78,8
53,59
3,85
36,54
30,98
13,12
40,65
5,24
84,79
5,43
15,50
17,3
4,68
35,44
79,11
31,13
48,37
85,2
54,42
53,81
26,3
71,54
86,99
48,44
54,39
11,19
10,15
59,12
43,67
34,18
41,15
26,79
39,78
55,67
63,40
36,73
20,47
58,1
37,54
46,37
75,32
3,97
78,88
62,34
19,11
70,67
3,78
60,1
30,100
1,51
89,9
14,81
8,94
89,81
70,58
63,38
68,29
2,76
67,8
95,9
63,68
60,56
13,88
87,89
60,83
85,94
36,29
54,84
96,60
100,82
87,60
67,30
76,96
70,41
5,72
64,30
18,42
5,75
28,86
13,39
9,81
32,58
75,98
13,63
34,6
1,47
82,47
85,80
12,6
43,73
70,35
76,44
27,17
56,13
90,39
64,52
16,73
3,4
74,26
19,55
47,11
89,74
87,73
12,88
54,93
78,18
92,9
73,21
28,7
51,50
73,23
18,28
6,7
83,27
11,53
82,74
39,75
19,92
1,95
62,29
73,87
67,45
51,30
47,1
68,11
3,75
90,34
59,89
90,62
87,33
27,2
59,68
10,99
28,76
40,50
48,12
31,30
13,29
2,9
18,23
47,75
67,100
63,50
22,19
98,11
76,38
97,8
77,66
72,38
86,59
83,18
25,60
8,6
99,28
20,74
22,3
90,38
78,35
31,39
69,81
21,10
63,90
46,81
4,70
50,32
16,75
16,35
14,82
80,9
32,94
56,36
3,92
82,5
69,28
55,45
29,2
26,89
91,69
30,20
11,67
73,9
89,76
55,94
11,70
30,99
66,51
29,7
34,4
13,72
22,36
80,37
32,95
23,69
60,19
62,67
24,49
71,86
52,46
2,8
20,18
31,89
84,16
27,31
19,82
16,42
49,34
14,99
85,45
57,70
35,30
68,20
5,68
45,29
43,1
6,82
75,48
1,33
85,69
23,92
44,36
95,81
62,5
45,23
98,22
45,91
69,47
87,1
49,49
49,36
3,34
45,32
100,14
81,44
21,42
31,86
1,57
83,42
53,77
82,17
33,63
48,74
50,48
2,1
46,44
90,35
59,15
9,98
37,71
51,63
93,62
53,56
18,100
59,21
87,56
37,69
70,28
76,67
31,49
91,3
33,96
28,58
27,21
61,94
82,68
56,93
51,45
82,17
27,35
39,94
13,49
22,56
3,55
71,66
18,27
77,46
49,78
12,18
3,46
71,8
25,25
74,62
49,100
23,57
20,24
26,52
95,1
14,40
17,70
87,20
26,96
52,75
75,93
47,99
3,50
75,84
60,18
67,58
92,89
11,80
65,47
59,29
57,4
33,14
57,20
45,56
79,52
93,61
77,21
81,66
26,51
90,26
97,20
8,11
73,47
65,68
88,58
90,51
62,57
90,37
86,90
84,4
36,52
22,100
66,78
67,70
24,38
70,45
88,88
3,42
9,8
15,57
91,12
98,87
55,52
77,26
74,28
33,73
66,49
51,88
41,67
3,32
81,23
21,88
79,28
58,80
7,94
18,39
96,99
30,56
100,63
13,55
79,28
52,49
21,78
20,18
